Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19758733420,"Aug 15, 2026, 10:32:12 PM",Evening Workout,Workout,Light movement - lower back still hurtin,1895,0,134.0,6,false,,,activities/20890688490.fit.gz,,,1895.0,1895.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,134.0,113.0,,,202.0,,,6.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,2836.0,,,,,,,,,,media/2A8AE1B1-69A8-4C37-9449-D9B11520CC4C.jpg
19758504632,"Aug 15, 2026, 9:56:23 PM",Afternoon Weight Training,Weight Training,,2001,0,119.0,3,false,,,activities/20890455624.fit.gz,,,2001.0,2001.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,119.0,84.0,,,105.0,,,3.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,20.0,,,,,,,,1,10,""
19756001625,"Aug 15, 2026, 4:25:58 PM",Lunch Walk,Walk,,3720,5.43,114.0,7,false,,,activities/20887897418.fit.gz,,,3720.0,3493.0,5431.3,2.08,1.555,59.5,62.8,55.8,88.3,8.3,0.0,,,67.0,62.0,114.0,92.0,,,318.0,,,7.0,,,,,,,,,,,,,0.0,,1.0,,1786809600.0,1.0,25.1,27.8,15.2,0.54,1021.3,0.7,1.8,12.0,0.0,1786788272.0,1786838006.0,0.125,,,0.0,1.0,0.05,36356.0,8.0,,,,,,1.46,0.0,,,,7162.0,0.0,,,,,,,,,,,,,,,,|
19746201117,"Aug 15, 2026, 12:42:30 AM",Evening Walk,Walk,,5842,4.08,108.0,5,false,,,activities/20877784886.fit.gz,,,5842.0,3053.0,4087.1,2.529,1.339,37.8,42.6,55.8,88.3,10.4,0.0,,,84.0,59.0,108.0,84.0,,,246.0,,,5.0,,,,,,,,,,,,,0.0,,1.0,,1786752000.0,1.0,25.0,25.8,19.2,0.7,1017.1,0.6,2.3,83.0,0.0,1786701823.0,1786751678.0,0.125,,,0.32,5.0,0.34,25936.0,0.0,,,,,,0.7,0.0,,,,5998.0,0.0,,,,,,,,,,,,,,,,|
19741123545,"Aug 14, 2026, 4:00:32 PM",Stair master work - shit kills,Workout,Lower back hurtin,1802,0,167.0,37,false,,,activities/20872592889.fit.gz,,,1802.0,1802.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,167.0,147.0,,,354.0,,,37.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,1994.0,,,,,,,,,,media/8C3858FC-C8DE-41A7-AE78-B157A13DC502.jpg
19740776815,"Aug 14, 2026, 3:10:13 PM",Chest x back,Weight Training,"",2918,0,125.0,6,false,,,activities/20872239600.fit.gz,,,2918.0,2918.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,125.0,95.0,,,115.0,,,6.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,30.0,,0.0,,,,,,1,15,""
19727822087,"Aug 13, 2026, 4:37:26 PM",Post run,Walk,"",1238,1.80,138.0,3,false,,,activities/20858894691.fit.gz,,,1238.0,1213.0,1808.0,2.467,1.491,25.6,31.7,58.4,87.4,9.1,-0.2,,,83.0,61.0,138.0,110.0,,,122.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,1786636800.0,3.0,27.2,27.6,19.3,0.62,1010.5,2.7,2.8,341.0,0.0,1786615363.0,1786665360.0,0.0,,,0.66,5.0,0.76,26453.0,5.0,,,,,,1.46,0.0,,,,2494.0,0.0,,,,,,,,,,,,,,,,|
19727556702,"Aug 13, 2026, 3:50:25 PM",🥥,Run,"Decent run - tried keeping HR low for a bit - ankle and shins felt off whole run, had more in the tank but not getting injured before even starting",2739,8.31,176.0,80,false,,,activities/20858624074.fit.gz,,,2739.0,2739.0,8310.5,3.98,3.034,94.0,98.6,35.9,87.4,49.2,0.0,,,89.0,84.0,176.0,156.0,,310.0,588.0,,,80.0,849302.0,,,,,,,,314.0,2740.0,,,0.0,,1.0,8609.2,1786633200.0,3.0,25.7,26.2,20.3,0.72,1010.6,3.0,3.6,329.0,0.0,1786615351.0,1786665371.0,0.0,,,0.62,5.0,0.66,24409.0,4.0,,,,,,3.034,0.0,,,,7726.0,0.0,,316.0,204.0,3.143,,,,,,,,,,,,||media/2B544461-2B51-40D8-9C33-2AF80C8FCD49.jpg
19726628167,"Aug 13, 2026, 3:03:16 PM",Lunch Physical Therapy,Workout,"",743,0,99.0,0,false,,,activities/20857673225.fit.gz,,,743.0,743.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,99.0,66.0,,,21.0,,,0.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,12.0,,0.0,,,,,,1,6,""
19717542550,"Aug 12, 2026, 10:37:02 PM",2nd workout of the day - full zone 2 - 1 mile recovery run,Run,Zone 2 is so boring - wanted to see if I could keep in 130s entire time. Thank you Russel Westbrook,599,1.61,145.0,3,false,,,activities/20848279437.fit.gz,,,599.0,599.0,1618.7,3.34,2.702,21.2,28.3,142.5,150.6,12.4,-0.1,,,85.0,82.0,145.0,134.0,,270.0,108.0,,,3.0,161605.0,,,,,,,,264.0,600.0,,,0.0,,1.0,1686.6,1786572000.0,1.0,29.0,30.8,15.8,0.45,1009.1,1.7,1.7,228.0,0.0,1786528903.0,1786579041.0,0.875,,,0.19,5.0,0.15,39892.0,1.0,,,,,,2.702,0.0,,,,1640.0,0.0,,48.0,171.0,2.816,,,,,,,,,,,,|
19712669053,"Aug 12, 2026, 2:53:19 PM",Stair master work,Workout,[strava://athletes/183604038/13]Julian Greene destroyed this shit - 10 min warmup instead,1993,0,167.0,33,false,,,activities/20843312111.fit.gz,,,1993.0,1993.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,167.0,143.0,,,371.0,,,33.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,3062.0,,,,,,,,,,media/1DDD9F00-C2D6-4236-81A6-B8FCF62F658C.jpg
19712241589,"Aug 12, 2026, 2:17:16 PM",Shitty back day,Weight Training,"",2038,0,132.0,3,false,,,activities/20842868042.fit.gz,,,2038.0,2038.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,132.0,84.0,,,108.0,,,3.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,10.0,,0.0,,,,,,1,5,""
19700582666,"Aug 11, 2026, 5:50:32 PM",Good Run,Run,One hill had my heart rate high and couldn't get it back down,3205,9.66,182.0,116,false,,,activities/20830789820.fit.gz,,,3205.0,3205.0,9662.7,4.0,3.015,99.7,100.3,39.7,95.5,10.3,0.0,,,89.0,83.0,182.0,162.0,,311.0,702.0,,,116.0,997041.0,,,,,,,,316.0,3206.0,,,0.0,,1.0,9836.9,1786467600.0,2.0,28.0,28.7,20.3,0.63,1010.8,3.2,4.1,324.0,0.0,1786442443.0,1786492720.0,0.875,,,0.47,5.0,0.53,25992.0,6.0,,,,,,3.015,0.0,,,,8932.0,0.0,,374.0,205.0,3.069,,,,,,,,,,,,||media/3EE16BD9-2ECB-4DAD-B6C1-E11447D76993.mp4|media/29C754E7-FF64-489B-AF86-6902B5197589.jpg
19699020698,"Aug 11, 2026, 4:21:51 PM",Lunch Weight Training,Weight Training,,3176,0,125.0,6,false,,,activities/20829199892.fit.gz,,,3176.0,3176.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,125.0,93.0,,,209.0,,,6.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,12.0,,,,,,,,1,6,""
19668257453,"Aug 9, 2026, 12:24:16 PM",Morning run,Run,"",2053,6.69,176.0,73,false,,,activities/20797176975.fit.gz,,,2053.0,2047.0,6693.4,4.14,3.27,74.7,77.1,55.8,90.4,10.8,0.0,,,89.0,84.0,176.0,162.0,,331.0,465.0,,,73.0,679672.0,,,,,,,,333.0,2054.0,,,0.0,,1.0,6830.7,1786276800.0,1.0,24.7,27.2,22.2,0.86,1014.9,2.0,2.2,273.0,0.0,1786269512.0,1786320089.0,0.875,,,0.06,5.0,0.26,18115.0,1.0,,,,,,3.26,0.0,,,,5744.0,0.0,,266.0,216.0,3.337,,,,,,,,,,,,||media/911BA406-4286-4243-A706-82ED1724E040.jpg
19647172941,"Aug 7, 2026, 11:33:16 PM",32.5 min treadmill workout,Workout,10 - 1 min 10.5 speed sprints (1 min on - 30 second jog) - 15 min 7 speed jog - 7.5 min walk  - like 4.1 miles total,1951,0,178.0,43,false,,,activities/20775229684.fit.gz,,,1951.0,1951.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,178.0,148.0,,,372.0,,,43.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,4876.0,,,,,,,,,,media/C1B2CB16-8EBA-40B8-B0DA-4AFAA0FBF8D5.jpg|media/48018B0E-307D-4BED-9046-2C233DB0E149.jpg
19646892232,"Aug 7, 2026, 10:46:17 PM",Shoulder arms,Weight Training,"",1802,0,139.0,4,false,,,activities/20774936985.fit.gz,,,1802.0,1802.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,139.0,103.0,,,156.0,,,4.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,28.0,,0.0,,,,,,1,14,""
19635063229,"Aug 7, 2026, 12:49:56 AM",🤔 - fitted up,Run,"Maybe 600 mg of caffeine, hella humidity and a slow pace does still mean a high hr. [strava://athletes/110159467/11]Dylan Dwyer final run before old yeller ✌🏻",4188,11.27,180.0,158,false,,,activities/20762616429.fit.gz,,,4188.0,3971.0,11277.1,4.14,2.84,130.5,130.6,39.7,87.4,13.9,0.0,,,88.0,83.0,180.0,164.0,,291.0,854.0,,,158.0,1157438.0,,,,,,,,290.0,4177.0,,,0.0,,1.0,11522.1,1786060800.0,2.0,28.8,30.7,25.0,0.8,1017.7,1.2,2.0,183.0,0.0,1786010149.0,1786061104.0,0.75,,,0.84,5.0,0.44,20750.0,0.0,,,,,,2.693,0.0,,,,11046.0,0.0,,410.0,188.0,2.902,,,,,,,,,,,,||media/726FC01B-83A0-4437-A63C-23060D0CB0F1.jpg
19634516822,"Aug 7, 2026, 12:01:53 AM",Evening Weight Training,Weight Training,,1801,0,137.0,4,false,,,activities/20762040127.fit.gz,,,1801.0,1801.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,137.0,99.0,,,148.0,,,4.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,18.0,,,,,,,,1,9,""
19606160257,"Aug 5, 2026, 12:32:24 AM",Had to move,Run,[strava://athletes/110159467/11]Dylan Dwyer running away from this final presentation #Suit&Tie,2155,6.48,180.0,75,false,,,activities/20732568130.fit.gz,,,2155.0,2147.0,6483.5,5.24,3.02,109.4,114.6,142.2,150.5,12.7,0.0,,,94.0,83.0,180.0,162.0,,302.0,468.0,,,75.0,647538.0,,,,,,,,299.0,2156.0,,,0.0,,1.0,6774.1,1785888000.0,1.0,25.0,24.7,16.5,0.59,1019.2,2.1,2.2,191.0,0.0,1785837233.0,1785888448.0,0.625,,,0.0,1.0,0.23,28189.0,0.0,,,,,,3.009,0.0,,,,6008.0,0.0,,225.0,194.0,3.155,,,,,,,,,,,,||media/3472EF9F-1F72-4BB6-BFDA-108CBDAA0722.jpg
19606160178,"Aug 4, 2026, 11:28:25 PM",Evening Weight Training,Weight Training,,2065,0,139.0,5,false,,,activities/20732568030.fit.gz,,,2065.0,2065.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,139.0,100.0,,,174.0,,,5.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,10.0,,,,,,,,1,5,""
19590962797,"Aug 4, 2026, 12:45:53 AM",Post legs - needed to cool down run,Run,Recovery - slow and steady,2395,6.50,166.0,56,false,,,activities/20716825965.fit.gz,,,2395.0,2395.0,6500.7,4.7,2.714,109.4,114.5,142.3,150.6,12.4,0.0,,,87.0,83.0,166.0,149.0,,270.0,463.0,,,56.0,647102.0,,,,,,,,270.0,2396.0,,,0.0,,1.0,6794.2,1785801600.0,1.0,24.3,23.8,18.1,0.68,1011.2,2.6,5.2,297.0,0.0,1785750775.0,1785802119.0,0.625,,,1.0,5.0,0.08,27080.0,0.0,,,,,,2.714,0.0,,,,6604.0,0.0,,204.0,175.0,2.837,,,,,,,,,,,,||media/C1B46BD8-AD33-4020-8F93-9DCE8D8650DE.jpg
19590959133,"Aug 3, 2026, 11:46:03 PM",Legs,Weight Training,"",2330,0,156.0,8,false,,,activities/20716822181.fit.gz,,,2330.0,2330.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,156.0,114.0,,,255.0,,,8.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,22.0,,0.0,,,,,,1,11,""
19573360916,"Aug 2, 2026, 2:51:37 PM",Walk,Walk,"",3600,4.86,118.0,8,false,,,activities/20698514301.fit.gz,,,3600.0,3600.0,4868.6,1.8,1.352,45.1,33.8,82.2,111.7,17.3,0.1,,,75.0,59.0,118.0,98.0,,,287.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,1785679200.0,3.0,25.8,25.9,21.9,0.79,1015.0,3.5,3.9,173.0,0.0,1785664317.0,1785715787.0,0.625,,,0.42,5.0,0.82,20911.0,4.0,,,,,,1.352,0.0,,,,7088.0,0.0,,,,,,,,,,,,,,,,||media/6B7A0D28-3D74-4E6F-B29D-51979890AA08.jpg
19573360824,"Aug 2, 2026, 1:48:01 PM",Morning Weight Training,Weight Training,,2347,0,142.0,6,false,,,activities/20698514288.fit.gz,,,2347.0,2347.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,142.0,102.0,,,204.0,,,6.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,20.0,,,,,,,,1,10,""
19563069672,"Aug 2, 2026, 12:11:49 AM",Run,Run,Not sure what this was - threw some sprints in there. Good movement and didn't worry about heart rate but it was high,2475,6.68,184.0,90,false,,,activities/20687861288.fit.gz,,,2475.0,2083.0,6681.6,5.38,3.208,63.5,65.1,58.4,96.6,9.6,0.0,,,100.0,84.0,184.0,166.0,,344.0,473.0,,,90.0,714950.0,,,,,,,,366.0,2296.0,,,0.0,,1.0,6792.1,1785628800.0,3.0,25.4,25.8,20.0,0.72,1013.4,2.6,3.0,182.0,0.0,1785577860.0,1785629455.0,0.625,,,0.0,1.0,0.63,20790.0,0.0,,,,,,2.7,0.0,,,,5800.0,0.0,,360.0,238.0,3.261,,,,,,,,,,,,||media/D8AD9E12-6AF9-4B28-A96E-E95D44B081B5.jpg|media/574EAD90-B66D-4A69-B12F-7F44A31D8CAC.jpg
19549514095,"Aug 1, 2026, 12:37:12 AM",Legs warming up - slow but movin,Run,[strava://athletes/166313645/10]Ty Stevens Miami 🔜,3988,11.27,174.0,107,false,,,activities/20673822026.fit.gz,,,3988.0,3988.0,11275.7,4.48,2.827,140.1,139.5,39.7,87.4,13.7,0.0,,,92.0,84.0,174.0,155.0,,291.0,821.0,,,107.0,1160556.0,,,,,,,,295.0,3989.0,,,0.0,,1.0,11555.3,1785542400.0,1.0,25.0,25.9,20.5,0.76,1013.0,0.8,2.3,192.0,0.0,1785491403.0,1785543120.0,0.625,,,0.33,5.0,0.17,21838.0,0.0,,,,,,2.827,0.0,,,,11144.0,0.0,,407.0,192.0,2.898,,,,,,,,,,,,||media/326789D9-AA2D-4A6D-9A32-AA837DC174AF.jpg|media/7C580AE5-0D3A-4848-9DD1-2687C4164613.jpg
19548821423,"Jul 31, 2026, 11:09:21 PM",Evening Weight Training,Weight Training,,2039,0,151.0,4,false,,,activities/20673101412.fit.gz,,,2039.0,2039.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,151.0,91.0,,,141.0,,,4.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,12.0,,,,,,,,1,6,""
19523041959,"Jul 30, 2026, 1:12:08 AM",Shins hurt a bit - first one back,Run,"",2403,6.63,171.0,41,false,,,activities/20646478452.fit.gz,,,2403.0,2393.0,6629.3,3.64,2.77,76.9,81.1,40.0,87.4,9.2,-0.1,,,88.0,84.0,171.0,146.0,,301.0,470.0,,,41.0,723024.0,,,,,,,,338.0,2404.0,,,0.0,,1.0,6746.0,1785373200.0,5.0,22.3,23.8,19.7,0.85,1003.3,0.5,2.1,264.0,0.1,1785318489.0,1785370447.0,0.5,,,1.0,5.0,0.71,19481.0,0.0,,,,,,2.759,0.0,,,,6718.0,0.0,,320.0,219.0,2.819,,,,,,,,,,,,|
19508735043,"Jul 29, 2026, 12:58:49 AM",Evening Workout,Workout,,1922,0,152.0,11,false,,,activities/20631754120.fit.gz,,,1922.0,1922.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,152.0,130.0,,,290.0,,,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,4002.0,,,,,,,,,,""
19508392481,"Jul 29, 2026, 12:10:54 AM",Evening Weight Training,Weight Training,,2826,0,130.0,6,false,,,activities/20631399680.fit.gz,,,2826.0,2826.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,130.0,92.0,,,193.0,,,6.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,24.0,,,,,,,,1,12,""
